Aircraft,Total_Accidents,Fatal_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident,Units_Produced,Accidents_Per_Unit,Fatal_Accidents_Per_Unit
PIPER PA-18A 150,9,0,0.0,0.0,,,
PIPER PA-18A-150,2,0,0.0,0.0,,,
PIPER PA-18AS,1,1,1.0,1.0,,,
PIPER PA-19,1,0,0.0,0.0,,,
PIPER PA-20,20,1,1.0,0.05,,,
PIPER PA-20-135,2,1,2.0,1.0,,,
PIPER PA-20/22,1,0,0.0,0.0,,,
PIPER PA-22,17,1,3.0,0.17647058823529413,,,
PIPER PA-22-108,10,0,0.0,0.0,,,
PIPER PA-22-125,1,0,0.0,0.0,,,
PIPER PA-22-135,18,3,4.0,0.2222222222222222,,,
PIPER PA-22-150,49,4,7.0,0.14285714285714285,,,
PIPER PA-22-160,26,0,0.0,0.0,,,
PIPER PA-22/20,4,0,0.0,0.0,,,
PIPER PA-23,8,4,10.0,1.25,,,
PIPER PA-23-150,2,1,2.0,1.0,,,
PIPER PA-23-160,3,1,1.0,0.3333333333333333,,,
PIPER PA-23-250,17,9,27.0,1.588235294117647,,,
PIPER PA-24,11,2,4.0,0.36363636363636365,,,
PIPER PA-24-180,5,1,2.0,0.4,,,
PIPER PA-24-250,47,19,27.0,0.574468085106383,,,
PIPER PA-24-260,19,5,10.0,0.5263157894736842,,,
PIPER PA-24-260B,1,0,0.0,0.0,,,
PIPER PA-24-260C,1,0,0.0,0.0,,,
PIPER PA-24-400,3,0,0.0,0.0,,,
PIPER PA-25,4,3,3.0,0.75,,,
PIPER PA-25-235,34,10,12.0,0.35294117647058826,,,
PIPER PA-25-235D,1,1,1.0,1.0,,,
PIPER PA-25-260,10,2,2.0,0.2,,,
PIPER PA-28,19,1,4.0,0.21052631578947367,,,
PIPER PA-28-140,133,31,45.0,0.3383458646616541,,,
PIPER PA-28-140B,1,0,0.0,0.0,,,
PIPER PA-28-150,3,0,0.0,0.0,,,
PIPER PA-28-151,19,5,7.0,0.3684210526315789,,,
PIPER PA-28-160,6,3,3.0,0.5,,,
PIPER PA-28-161,74,8,10.0,0.13513513513513514,,,
PIPER PA-28-180,75,15,27.0,0.36,,,
PIPER PA-28-181,66,15,31.0,0.4696969696969697,,,
PIPER PA-28-201T,3,0,0.0,0.0,,,
PIPER PA-28-235,34,5,10.0,0.29411764705882354,,,
PIPER PA-28-235C,1,0,0.0,0.0,,,
PIPER PA-28-235D,1,1,2.0,2.0,,,
PIPER PA-28-236,11,3,4.0,0.36363636363636365,,,
PIPER PA-28-R200,1,0,0.0,0.0,,,
PIPER PA-28C-235,1,0,0.0,0.0,,,
PIPER PA-28D-180,1,0,0.0,0.0,,,
PIPER PA-28R,3,2,4.0,1.3333333333333333,,,
PIPER PA-28R-180,20,6,13.0,0.65,,,
PIPER PA-28R-200,48,14,27.0,0.5625,,,
PIPER PA-28R-201,12,2,3.0,0.25,,,
PIPER PA-28R-201T,7,1,1.0,0.14285714285714285,,,
PIPER PA-28RT,1,1,1.0,1.0,,,
PIPER PA-28RT-201,10,4,9.0,0.9,,,
PIPER PA-28RT-201T,9,3,7.0,0.7777777777777778,,,
PIPER PA-30,56,18,34.0,0.6071428571428571,,,
PIPER PA-30 B,1,0,0.0,0.0,,,
PIPER PA-30B,1,0,0.0,0.0,,,
PIPER PA-31,5,5,9.0,1.8,,,
PIPER PA-31-235,1,0,0.0,0.0,,,
PIPER PA-31-310,4,1,3.0,0.75,,,
PIPER PA-31-325,6,4,12.0,2.0,,,
PIPER PA-31-350,38,10,44.0,1.1578947368421053,,,
PIPER PA-31P,6,5,7.0,1.1666666666666667,,,
PIPER PA-31P-350,1,0,0.0,0.0,,,
PIPER PA-31T,8,5,13.0,1.625,,,
PIPER PA-31T1,4,3,10.0,2.5,,,
PIPER PA-31T2,1,1,1.0,1.0,,,
PIPER PA-32,6,2,2.0,0.3333333333333333,,,
PIPER PA-32-260,35,14,35.0,1.0,,,
PIPER PA-32-300,35,9,24.0,0.6857142857142857,,,
PIPER PA-32-301,15,1,1.0,0.06666666666666667,,,
PIPER PA-32-301T,3,2,8.0,2.6666666666666665,,,
PIPER PA-32-301XTC,1,0,0.0,0.0,,,
PIPER PA-32R,4,2,5.0,1.25,,,
PIPER PA-32R-300,36,12,36.0,1.0,,,
PIPER PA-32R-301,15,6,13.0,0.8666666666666667,,,
PIPER PA-32R-301T,18,7,14.0,0.7777777777777778,,,
PIPER PA-32RT,1,0,0.0,0.0,,,
PIPER PA-32RT-300,8,2,3.0,0.375,,,
PIPER PA-32RT-300T,10,1,2.0,0.2,,,
PIPER PA-32S-300,3,2,5.0,1.6666666666666667,,,
PIPER PA-32T,1,1,7.0,7.0,,,
PIPER PA-34,9,5,13.0,1.4444444444444444,,,
PIPER PA-34-200,5,2,6.0,1.2,,,
PIPER PA-34-200T,30,8,21.0,0.7,,,
PIPER PA-34-220T,9,4,7.0,0.7777777777777778,,,
PIPER PA-36,1,0,0.0,0.0,,,
PIPER PA-36-285,8,0,0.0,0.0,,,
PIPER PA-36-300,4,2,2.0,0.5,,,
PIPER PA-36-375,3,0,0.0,0.0,,,
PIPER PA-38,1,0,0.0,0.0,,,
PIPER PA-38-112,27,7,12.0,0.4444444444444444,,,
PIPER PA-39,3,2,3.0,1.0,,,
PIPER PA-42,3,1,5.0,1.6666666666666667,,,
PIPER PA-42-1000,1,1,1.0,1.0,,,
PIPER PA-42-720,1,1,1.0,1.0,,,
PIPER PA-44,1,0,0.0,0.0,,,
PIPER PA-44-180,29,6,13.0,0.4482758620689655,,,
PIPER PA-44-180T,1,0,0.0,0.0,,,
PIPER PA-46,5,2,4.0,0.8,,,
PIPER PA-46-310P,21,5,10.0,0.47619047619047616,,,
PIPER PA-46-31P,1,1,2.0,2.0,,,
PIPER PA-46-350P,17,3,10.0,0.5882352941176471,,,
PIPER PA-46-500TP,7,3,6.0,0.8571428571428571,,,
PIPER PA-46-600TP,1,0,0.0,0.0,,,
PIPER PA-60-602P,3,1,3.0,1.0,,,
PIPER PA11,1,0,0.0,0.0,,,
PIPER PA12,5,1,2.0,0.4,,,
PIPER PA16,1,0,0.0,0.0,,,
PIPER PA17,1,0,0.0,0.0,,,
PIPER PA18,86,4,7.0,0.08139534883720931,,,
PIPER PA18 - 150,2,0,0.0,0.0,,,
PIPER PA18-150,1,0,0.0,0.0,,,
PIPER PA18-160,1,0,0.0,0.0,,,
PIPER PA18A,1,0,0.0,0.0,,,
PIPER PA18A-150,1,0,0.0,0.0,,,
PIPER PA18S,4,1,2.0,0.5,,,
PIPER PA19,2,0,0.0,0.0,,,
PIPER PA20,1,0,0.0,0.0,,,
PIPER PA20 - UNDESIGNAT,1,0,0.0,0.0,,,
PIPER PA22,48,4,8.0,0.16666666666666666,,,
PIPER PA22-150,1,1,4.0,4.0,,,
PIPER PA22/135,1,0,0.0,0.0,,,
PIPER PA23,29,10,21.0,0.7241379310344828,,,
PIPER PA23-250,1,0,0.0,0.0,,,
PIPER PA24,36,7,13.0,0.3611111111111111,,,
PIPER PA24-260,2,0,0.0,0.0,,,
PIPER PA25,32,24,24.0,0.75,,,
PIPER PA25 - 260,1,0,0.0,0.0,,,
PIPER PA28,273,63,116.0,0.4249084249084249,6000.0,0.0455,0.0105
PIPER PA28 - 140,1,0,0.0,0.0,,,
PIPER PA28 - 160,1,0,0.0,0.0,,,
PIPER PA28 - 161,2,1,1.0,0.5,,,
PIPER PA28 - 180,1,0,0.0,0.0,,,
PIPER PA28 - 181,2,0,0.0,0.0,,,
PIPER PA28 151,3,0,0.0,0.0,,,
PIPER PA28-140,3,0,0.0,0.0,,,
PIPER PA28-150,1,0,0.0,0.0,,,
PIPER PA28-151,5,0,0.0,0.0,,,
PIPER PA28-180,1,0,0.0,0.0,,,
PIPER PA28-200,1,0,0.0,0.0,,,
PIPER PA28-236,1,1,2.0,2.0,,,
PIPER PA28R,68,17,31.0,0.45588235294117646,,,
PIPER PA28R - 201T,1,0,0.0,0.0,,,
PIPER PA28RT,5,2,6.0,1.2,,,
PIPER PA30,12,6,11.0,0.9166666666666666,,,
PIPER PA30 - NO SERIES,2,0,0.0,0.0,,,
PIPER PA31,27,14,39.0,1.4444444444444444,,,
PIPER PA31 - 350,1,1,4.0,4.0,,,
PIPER PA31-350,2,1,4.0,2.0,,,
PIPER PA31T,4,4,12.0,3.0,,,
PIPER PA32,62,14,33.0,0.532258064516129,,,
PIPER PA32 - 300,1,1,3.0,3.0,,,
PIPER PA32 - 301,1,1,1.0,1.0,,,
PIPER PA32 301FT,1,0,0.0,0.0,,,
PIPER PA32-260,1,0,0.0,0.0,,,
PIPER PA32-300,1,0,0.0,0.0,,,
PIPER PA32-301FT,3,0,0.0,0.0,,,
PIPER PA32R,38,11,31.0,0.8157894736842105,,,
PIPER PA32R - 301,1,1,1.0,1.0,,,
PIPER PA32R - 301T,1,0,0.0,0.0,,,
PIPER PA32RT,18,5,9.0,0.5,,,
PIPER PA32RT - 300T,1,1,3.0,3.0,,,
PIPER PA34,46,21,52.0,1.1304347826086956,,,
PIPER PA34-200T,1,0,0.0,0.0,,,
PIPER PA36,8,2,2.0,0.25,,,
PIPER PA38,18,8,12.0,0.6666666666666666,,,
PIPER PA38 - 112,2,1,1.0,0.5,,,
PIPER PA42,4,1,4.0,1.0,,,
PIPER PA44,7,2,5.0,0.7142857142857143,,,
PIPER PA46,54,12,29.0,0.5370370370370371,,,
PIPER PA46 - 350P,2,2,3.0,1.5,,,
PIPER PA46 500TP,5,2,2.0,0.4,,,
PIPER PA46-310P,1,0,0.0,0.0,,,
PIPER PA46-350P,1,1,3.0,3.0,,,
PIPER PA46-500TP,11,4,9.0,0.8181818181818182,,,
PIPER PA46R,1,0,0.0,0.0,,,
PIPER PA46R-350T,1,0,0.0,0.0,,,
PIPER PA60,10,5,11.0,1.1,,,
PIPER PA60 602P,1,0,0.0,0.0,,,
PIPER PAWNEE PA25-260,1,1,1.0,1.0,,,
PIPER SENECA,1,0,0.0,0.0,,,
PIPER TITAN TORNADO II D,1,1,1.0,1.0,,,
PIPER-HARRIS J3C-65,1,0,0.0,0.0,,,
PIPER/CUB CRAFTERS PA-18-150,4,0,0.0,0.0,,,
PIPER/WALLY'S FLYERS INC J3C-65,1,0,0.0,0.0,,,
PIPISTREL ALPHA TRAINER,5,1,1.0,0.2,,,
PIPISTREL D O O VIRUS SW,1,0,0.0,0.0,,,
PIPISTREL ITALIA SRL SINUS 912 LSA,1,1,1.0,1.0,,,
PIPISTREL SINUS,1,0,0.0,0.0,,,
PIPISTREL SINUS 912,1,0,0.0,0.0,,,
PIPISTREL TAURUS,1,1,1.0,1.0,,,
PITCAIRN PA-4,1,0,0.0,0.0,,,
PITTMAN EDDIE G CGS HAWK ARROW II,1,0,0.0,0.0,,,
PITTS 12,1,1,2.0,2.0,,,
PITTS A,1,0,0.0,0.0,,,
PITTS AEROBATICS S-2B,3,0,0.0,0.0,,,
PITTS MODEL 12,1,0,0.0,0.0,,,
PITTS S-1T,1,0,0.0,0.0,,,
PITTS S-2A,1,0,0.0,0.0,,,
PITTS S1,4,1,1.0,0.25,,,
PITTS S1S,1,1,1.0,1.0,,,
PITTS S2,9,6,8.0,0.8888888888888888,,,
PITTS S2C,1,0,0.0,0.0,,,
PITTS SPECIAL,1,0,0.0,0.0,,,
PITTS SPECIAL S 1C,1,0,0.0,0.0,,,
PLANTE CHALLENGER II,1,0,0.0,0.0,,,
PLOCHER SHA-GLASAIR,1,0,0.0,0.0,,,
POBEREZNY ACRO SPORT II,2,1,2.0,1.0,,,
POE G L/POE S Y 540,1,1,1.0,1.0,,,
POHOSKI RV 4,1,0,0.0,0.0,,,
POLARIS POLAR STAR,1,1,2.0,2.0,,,
POLIT KITFOX SER 5 OUTBACK,1,1,1.0,1.0,,,
POLLACK QUICKSILVER SPRINT2S,1,0,0.0,0.0,,,
PONGRACZ JOHN M NIEUPORT 1,1,1,1.0,1.0,,,
POOL MURPHY MOOSE,1,0,0.0,0.0,,,
POOLE ROBERT C JR VAN'S,1,0,0.0,0.0,,,
PORBECK JOHN M SLIPSTREAM GENESIS,1,0,0.0,0.0,,,
PORRATA LUIS G RANS S 12XL,1,0,0.0,0.0,,,
PORTER GLEN AVENTURA II,1,0,0.0,0.0,,,
PORTER JAMES GRANT SUPERIOR CUB,2,0,0.0,0.0,,,
PORTERFIELD CP 65,1,0,0.0,0.0,,,
POST THORP T-18,1,0,0.0,0.0,,,
POTEZ-AIR FOUGA CM 170 MAGISTER,1,1,2.0,2.0,,,
POULIN L/CULLEN D LANCAIR LEGACY,1,1,2.0,2.0,,,
POWELL VANS RV-6A,1,0,0.0,0.0,,,
POWRACHUTE PC 2000,1,0,0.0,0.0,,,
PPHU EKOLOT KR-030 TOPAZ,2,0,0.0,0.0,,,
PREISS VANS RV-9A,1,0,0.0,0.0,,,
PRENDERGAST JOHN/VANS RV-7A,1,0,0.0,0.0,,,
PRENDERGAST RV-7A,1,0,0.0,0.0,,,
PRESCOT E. WILKIE RV-3,1,1,1.0,1.0,,,
PRICHARD KEVIN LEGACY 2K,1,0,0.0,0.0,,,
PRIDMORE LANCAIR IV,1,0,0.0,0.0,,,
PRIZIO TEXAS SPRT CUB TX11J,1,0,0.0,0.0,,,
PROBST BABY ACE D,1,1,1.0,1.0,,,
PROBST ZENAIR 601XL,1,0,0.0,0.0,,,
PROGRESSIVE AERODYNE INC SEAREY,1,0,0.0,0.0,,,
PROGRESSIVE AERODYNE INC SEAREY LSA,4,0,0.0,0.0,,,
PROGRESSIVE AERODYNE SEAREY,4,1,1.0,0.25,,,
PRUSS RICHARD S KITFOX IV,1,1,1.0,1.0,,,
PURTEE KEVIN M PIETENPOL AIRCAMPER,1,0,0.0,0.0,,,
PYKA INC PELICAN,1,0,0.0,0.0,,,
PZL MIELEC M-18A,1,1,1.0,1.0,,,
PZL MIELEC M18,3,1,1.0,0.3333333333333333,,,
PZL OKECIE M18,1,1,1.0,1.0,,,
PZL OKECIE PZL104,1,0,0.0,0.0,,,
PZL PZL-104 35A,1,0,0.0,0.0,,,
PZL WARSZAWA-OKECIE PZL-104,1,1,1.0,1.0,,,
QAC QUICKIE,1,0,0.0,0.0,,,
QUAD CITY AIRCRAFT CORP CHALLENGER II,1,0,0.0,0.0,,,
QUAD CITY CHALLENGER,10,5,6.0,0.6,,,
QUAD CITY CHALLENGER - II,1,1,1.0,1.0,,,
QUAD CITY CHALLENGER I,1,0,0.0,0.0,,,
QUAD CITY CHALLENGER II,3,2,3.0,1.0,,,
QUAD CITY ULTRALIGHT ACFT CORP CHALLENGER I,1,0,0.0,0.0,,,
QUAD CITY ULTRALIGHT ACFT CORP CHALLENGER II,1,0,0.0,0.0,,,
QUAD CITY ULTRALIGHT AIRCRAFT CHALLENGER I,1,0,0.0,0.0,,,
QUAD CITY ULTRALIGHT AIRCRAFT CHALLENGER II,1,0,0.0,0.0,,,
QUAD CITY ULTRALIGHT AIRCRAFT CHALLENGER LSS,1,1,1.0,1.0,,,
QUAD CITY ULTRALIGHT CHALLENGER II,1,0,0.0,0.0,,,
QUAD CITY ULTRALIGHT CORP CHALLENGER II,1,1,1.0,1.0,,,
QUAD CITY ULTRALIGHTS CHALLENGER II,1,1,2.0,2.0,,,
QUARNOCCIO AVID FLYER,1,0,0.0,0.0,,,
QUARTZ MOUNTAIN AEROSPACE INC 11E,1,0,0.0,0.0,,,
QUARTZ MOUNTAIN AEROSPACE L-11E,1,0,0.0,0.0,,,
QUASAR ACFT CO LLC 214SL,1,0,0.0,0.0,,,
QUEST AIRCRAFT COMPANY KODIAK,1,1,2.0,2.0,,,
QUEST AIRCRAFT COMPANY LLC KODIAC 100,3,1,2.0,0.6666666666666666,,,
QUEST AIRCRAFT COMPANY LLC KODIAK 100,3,1,1.0,0.3333333333333333,,,
QUEST KODIAC 100,2,0,0.0,0.0,,,
QUEST KODIAK,1,0,0.0,0.0,,,
QUEST KODIAK 100,4,1,2.0,0.5,,,
QUESTAIR INC VENTURE,1,0,0.0,0.0,,,
"QUESTAIR, INC. VENTURE",1,0,0.0,0.0,,,
QUICKIE Q2,2,0,0.0,0.0,,,
QUICKSILVER 2S,1,0,0.0,0.0,,,
QUICKSILVER 2S SPORT,1,0,0.0,0.0,,,
QUICKSILVER AIRCRAFT CO SPORT 2S,1,0,0.0,0.0,,,
QUICKSILVER AIRCRAFT GT-500,1,0,0.0,0.0,,,
QUICKSILVER AIRCRAFT NORTHEAST SPORT,1,0,0.0,0.0,,,
QUICKSILVER EIPPER ACFT INC GT 400,1,0,0.0,0.0,,,
QUICKSILVER ENTERPRISES INC MXL II,1,1,1.0,1.0,,,
QUICKSILVER ENTERPRISES INC MXL II SPORT,1,0,0.0,0.0,,,
QUICKSILVER GT 400,1,0,0.0,0.0,,,
QUICKSILVER GT-400 R503,1,0,0.0,0.0,,,
QUICKSILVER GT400,2,1,1.0,0.5,,,
QUICKSILVER GT500,1,1,1.0,1.0,,,
QUICKSILVER MANUFACTURING INC SPORT 2S,1,0,0.0,0.0,,,
QUICKSILVER MANUFACTURING INC SPORT2S R582,1,0,0.0,0.0,,,
QUICKSILVER MFG MXL II SPORT,1,0,0.0,0.0,,,
QUICKSILVER MX,1,0,0.0,0.0,,,
QUICKSILVER MX II SPRINT,1,0,0.0,0.0,,,
QUICKSILVER MX SPRINT II,1,0,0.0,0.0,,,
QUICKSILVER MX-2,1,0,0.0,0.0,,,
QUICKSILVER MX2,1,1,1.0,1.0,,,
QUICKSILVER MXII,2,1,1.0,0.5,,,
QUICKSILVER MXII SPORT,2,0,0.0,0.0,,,
QUICKSILVER MXL II,5,1,1.0,0.2,,,
QUICKSILVER MXL II SPORT,4,2,3.0,0.75,,,
QUICKSILVER MXL SPORT,1,0,0.0,0.0,,,
QUICKSILVER SPORT,1,0,0.0,0.0,,,
QUICKSILVER SPORT 2S,4,1,2.0,0.5,,,
QUICKSILVER SPORT 2S R582,1,0,0.0,0.0,,,
QUICKSILVER SPORT II,1,1,1.0,1.0,,,
QUICKSILVER SPORT IIS,1,0,0.0,0.0,,,
QUICKSILVER SPRINT II,2,0,0.0,0.0,,,
QUICKSILVER UNKNOWN,1,0,0.0,0.0,,,
QUIST KITFOX,1,0,0.0,0.0,,,
RADDATZ STEVE RV 8,1,0,0.0,0.0,,,
RADFORD DARREL F CHRISTEN EAGLE II,1,0,0.0,0.0,,,
RADFORD RV-6,1,1,1.0,1.0,,,
RADLEY VINCENT QUICKSILVER SPORT 2S,1,0,0.0,0.0,,,
RAF SE5A,1,0,0.0,0.0,,,
RAGLE RV6A,1,1,2.0,2.0,,,
RAGONESE TIM VELOCITY,1,0,0.0,0.0,,,
RAINBOW SKY REACH (PTY) LTD BUSHCAT,3,0,0.0,0.0,,,
RAINBOW SKY REACH BUSHCAT,1,0,0.0,0.0,,,
RALPH C KIMBALL SEA REY,1,0,0.0,0.0,,,
RAMMEL THOMAS W SEAREY,1,0,0.0,0.0,,,
RAND ROBINSON KR2,1,0,0.0,0.0,,,
RANDAL C REIMER GLASTAR,1,1,2.0,2.0,,,
RANDALL MARVIN L VANS RV 3A,1,0,0.0,0.0,,,
RANDALL W GRANDPRE CH-701 ZENITH,1,0,0.0,0.0,,,
RANDY WAYNE MALONEY M1,1,0,0.0,0.0,,,
RANS AIRCRAFT S 6S,1,0,0.0,0.0,,,
RANS COYOTE II S6,1,1,2.0,2.0,,,
RANS COYOTE S 4,1,0,0.0,0.0,,,
RANS DESIGNS INC S-7LS,1,0,0.0,0.0,,,
RANS EMPLOYEE FLYING CLUB RANS S 6S,1,0,0.0,0.0,,,
RANS EMPLOYEE FLYING CLUB RANS S-6S,1,0,0.0,0.0,,,
RANS INC S-16 SHEKARI,1,1,1.0,1.0,,,
RANS INC S-6,1,1,2.0,2.0,,,
RANS RANS S6S,1,0,0.0,0.0,,,
RANS RANS S7 COURIER,1,0,0.0,0.0,,,
RANS RV 12,1,0,0.0,0.0,,,
RANS S 12XL,1,0,0.0,0.0,,,
RANS S 5,1,0,0.0,0.0,,,
RANS S-12,3,2,2.0,0.6666666666666666,,,
RANS S-12 AIRAILE,1,0,0.0,0.0,,,
RANS S-12 XL,1,0,0.0,0.0,,,
RANS S-12 XL AIRAILE,1,0,0.0,0.0,,,
RANS S-12XL,1,0,0.0,0.0,,,
RANS S-14,1,0,0.0,0.0,,,
RANS S-16,1,0,0.0,0.0,,,
RANS S-17,1,0,0.0,0.0,,,
RANS S-4 COYOTE I,1,0,0.0,0.0,,,
RANS S-7,2,0,0.0,0.0,,,
RANS S12,10,5,8.0,0.8,,,
RANS S12XL,1,1,2.0,2.0,,,
RANS S14,1,0,0.0,0.0,,,
RANS S17,1,1,1.0,1.0,,,
RANS S18,2,2,2.0,1.0,,,
RANS S20,2,1,1.0,0.5,,,
RANS S21,1,0,0.0,0.0,,,
RANS S5 COYOTE,1,0,0.0,0.0,,,
RANS S6,9,4,6.0,0.6666666666666666,,,
RANS S6 - ES,1,1,2.0,2.0,,,
RANS S6-ES,1,0,0.0,0.0,,,
RANS S6-ESD,1,0,0.0,0.0,,,
RANS S7,3,1,2.0,0.6666666666666666,,,
RANS S9,1,0,0.0,0.0,,,
"RANS, INC. RANS S-6ES",1,1,2.0,2.0,,,
"RANS, INC. S-6",1,1,2.0,2.0,,,
"RANS, INC. S12XL",1,0,0.0,0.0,,,
RARDIN WILLIAM I KITFOX III,1,0,0.0,0.0,,,
RATCLIFFE JOHN A KOLB MARK3X,1,1,1.0,1.0,,,
RATHEON AIRCRAFT COMPANY A36,1,0,0.0,0.0,,,
RATTE JAMES AVENTURA II,1,0,0.0,0.0,,,
RAUCH RV-3,1,0,0.0,0.0,,,
RAUDENBUSH ERNIE LANCAIR SUPER ES,1,0,0.0,0.0,,,
RAVEN AIRCRAFT CORPPRATION RAVEN,1,1,2.0,2.0,,,
RAVIRAJ MOHIL CCX-2000,1,0,0.0,0.0,,,
RAY AERIAL SPRAYING 773 RACER,1,1,1.0,1.0,,,
RAY E ROBERTS KITFOX V VIXEN,1,0,0.0,0.0,,,
RAY EARL D FLIGHTSTAR IISC,1,0,0.0,0.0,,,
RAYMON A. KING SUPER CUB REPLICA,1,0,0.0,0.0,,,
RAYTHEON 390,2,1,2.0,1.0,,,
RAYTHEON 400A,1,0,0.0,0.0,,,
RAYTHEON 58,1,0,0.0,0.0,,,
RAYTHEON A36,2,1,1.0,0.5,,,
RAYTHEON AIRCRAFT COMPANY 1900D,2,0,0.0,0.0,,,
RAYTHEON AIRCRAFT COMPANY 390,2,1,2.0,1.0,,,
RAYTHEON AIRCRAFT COMPANY 400A,5,0,0.0,0.0,,,
RAYTHEON AIRCRAFT COMPANY 58,5,4,10.0,2.0,,,
RAYTHEON AIRCRAFT COMPANY 99A,1,1,9.0,9.0,,,
RAYTHEON AIRCRAFT COMPANY A36,17,3,10.0,0.5882352941176471,,,
RAYTHEON AIRCRAFT COMPANY B200,6,1,1.0,0.16666666666666666,,,
RAYTHEON AIRCRAFT COMPANY B300,2,0,0.0,0.0,,,
RAYTHEON AIRCRAFT COMPANY B36TC,4,1,1.0,0.25,,,
RAYTHEON AIRCRAFT COMPANY BE-400A,1,0,0.0,0.0,,,
RAYTHEON AIRCRAFT COMPANY C90A,5,2,9.0,1.8,,,
RAYTHEON AIRCRAFT COMPANY C90GT,1,1,1.0,1.0,,,
RAYTHEON AIRCRAFT COMPANY G36,8,3,9.0,1.125,,,
RAYTHEON AIRCRAFT COMPANY HAWKER,1,0,0.0,0.0,,,
RAYTHEON AIRCRAFT COMPANY HAWKER 800XP,1,0,0.0,0.0,,,
RAYTHEON B-1900,1,0,0.0,0.0,,,
RAYTHEON B-350,1,1,14.0,14.0,,,
RAYTHEON B200,3,1,5.0,1.6666666666666667,,,
RAYTHEON COMPANY COBRA,1,0,0.0,0.0,,,
RAYTHEON CORPORATE JETS BAE 125-800A,1,1,8.0,8.0,,,
RAYTHEON CORPORATE JETS HAWKER 125,1,1,3.0,3.0,,,
RAYTHEON CORPORATE JETS INC BAE 125 800,1,0,0.0,0.0,,,
RAYTHEON G36,1,1,1.0,1.0,,,
RAYTHEON HAWKER,5,1,7.0,1.4,,,
RAYTHEON HAWKER 800XP,1,0,0.0,0.0,,,
REAMER RV7A,1,1,1.0,1.0,,,
REARWIN 8135,1,0,0.0,0.0,,,
REDD TOM QUICKSILVER GT 400,1,1,1.0,1.0,,,
REDDING DAVID RV9A,1,0,0.0,0.0,,,
REED GLASAIR III SH-3R,1,1,2.0,2.0,,,
REED MIKE SMITHS SUPER CUB,1,0,0.0,0.0,,,
REED WILLIAM A KITFOX 4,1,0,0.0,0.0,,,
REEVES AVID MARK IV,1,0,0.0,0.0,,,
REFLING RV8,1,0,0.0,0.0,,,
REHN KITFOX IV,1,1,1.0,1.0,,,
REICH GLASTAR,1,0,0.0,0.0,,,
REILLY CHARLES W ESCAPADE,1,0,0.0,0.0,,,
REIMS 406,1,0,0.0,0.0,,,
REIMS AVIATION CESSNA F172N,1,0,0.0,0.0,,,
REIMS AVIATION CESSNA FA152 AEROBAT,1,1,1.0,1.0,,,
REIMS AVIATION F150L,1,1,2.0,2.0,,,
REIMS AVIATION S.A. F150 M,1,0,0.0,0.0,,,
REIMS AVIATION SA CESSNA F150L,1,0,0.0,0.0,,,
REIMS AVIATION SA CESSNA F172N,1,0,0.0,0.0,,,
REIMS CESSNA FR172,1,0,0.0,0.0,,,
REIMS F152,1,1,1.0,1.0,,,
REIMS F172,4,3,7.0,1.75,,,
REIMS F172N,1,1,2.0,2.0,,,
REIMS FR172J,1,1,2.0,2.0,,,
REIMS-CESSNA F-150,1,0,0.0,0.0,,,
REIMS-CESSNA F150,1,1,2.0,2.0,,,
REIMUS SONEX FR1,1,0,0.0,0.0,,,
REINBOLDT RICHARD A CHALLENGER II,1,1,2.0,2.0,,,
REMOS ACFT GMBH FLUGZEUGBAU REMOS GX,6,2,3.0,0.5,,,
REMOS AIRCRAFT GMBH FLUGZEUGBA GX,2,1,2.0,1.0,,,
REMOS AIRCRAFT GMBH G 3/600,1,0,0.0,0.0,,,
REMOS AIRCRAFT GMBH G-3/600,2,0,0.0,0.0,,,
REMOS AIRCRAFT GMBH G3/600,1,0,0.0,0.0,,,
REMOS AIRCRAFT GMBH GEMINI REMOS,1,0,0.0,0.0,,,
REMOS AIRCRAFT GMBH REMOS G-3/,2,0,0.0,0.0,,,
REMOS AIRCRAFT GMBH REMOS G-3/600,2,1,1.0,0.5,,,
REMOS AIRCRAFT GMBH REMOS GX,4,1,1.0,0.25,,,
REMOS G-3/600,1,0,0.0,0.0,,,
REMOS G-3/6000,1,0,0.0,0.0,,,
REMOS GX,1,0,0.0,0.0,,,
REMPE KITFOX,1,0,0.0,0.0,,,
RENDER RV 9A,1,0,0.0,0.0,,,
RENNICKE MIDGET MUSTA MM1,1,0,0.0,0.0,,,
REPLOGLE LANCAIR 360,1,1,2.0,2.0,,,
REPUBLIC P 47D,1,1,1.0,1.0,,,
REPUBLIC RC 3,2,1,1.0,0.5,,,
REPUBLIC RC-3,3,1,1.0,0.3333333333333333,,,
REPUBLIC RC3,2,0,0.0,0.0,,,
REUPERT MARK AVID FLYER,1,0,0.0,0.0,,,
REWEY WILLIAM M CH 801,1,0,0.0,0.0,,,
RGJ AVIATION LLC JOHNSON AIR CAM,1,0,0.0,0.0,,,
RHINEHART STOLP SDTR TOO SA300,1,0,0.0,0.0,,,
"RHOADS, LARRY E SOPWITH BABY",1,0,0.0,0.0,,,
RICE GN-1 AIR CAMPIER,1,1,1.0,1.0,,,
RICE KR-2,1,0,0.0,0.0,,,
RICE LEO B KITFOX SERIES 5,1,0,0.0,0.0,,,
RICH WHEELER EXPRESS CT,1,1,1.0,1.0,,,
